,feature,diff,diff_preds,Method1
418,2445385,0.004053831100463867,1.0,0.004053831100463867
263,51450,0.004052877426147461,1.0,0.004052877426147461
2242,456064416,0.004047155380249024,1.0,0.004047155380249024
2897,42002030001,0.004042506217956543,1.0,0.004042506217956543
3943,65649030103,0.004014849662780762,1.0,0.004014849662780762
2802,17236032410,0.004008769989013672,1.0,0.004008769989013672
3159,51079054220,0.00399172306060791,1.0,0.00399172306060791
2383,574200202,0.003962397575378418,1.0,0.003962397575378418
641,9001104,0.003946661949157715,1.0,0.003946661949157715
2288,487590101,0.003938674926757813,1.0,0.003938674926757813
2854,24477032302,0.003932595252990723,1.0,0.003932595252990723
3740,61703020431,0.0039299726486206055,1.0,0.0039299726486206055
654,9014102,0.003928065299987793,1.0,0.003928065299987793
3432,54868308400,0.003923296928405762,1.0,0.003923296928405762
631,8121801,0.003918051719665527,1.0,0.003918051719665527
2349,536476301,0.0038988590240478524,1.0,0.0038988590240478524
3648,59762501601,0.003864765167236328,1.0,0.003864765167236328
562,6362836,0.003860950469970703,1.0,0.003860950469970703
2208,409665305,0.003860950469970703,1.0,0.003860950469970703
3075,51079008520,0.003853321075439453,1.0,0.003853321075439453
1127,71053523,0.003843545913696289,1.0,0.003843545913696289
2977,50111098601,0.003833293914794922,1.0,0.003833293914794922
810,32160280,0.0038303136825561523,1.0,0.0038303136825561523
2271,472008216,0.003820657730102539,1.0,0.003820657730102539
1341,75062281,0.003811955451965332,1.0,0.003811955451965332
3723,61553015311,0.003800034523010254,1.0,0.003800034523010254
3684,60505258500,0.003794550895690918,1.0,0.003794550895690918
783,29152722,0.003794431686401367,1.0,0.003794431686401367
3780,62584078833,0.0037674903869628906,1.0,0.0037674903869628906
737,23918703,0.0037502050399780273,1.0,0.0037502050399780273
538,6073128,0.0037442445755004883,1.0,0.0037442445755004883
799,29609039,0.0037420988082885742,1.0,0.0037420988082885742
1806,182055789,0.003736138343811035,1.0,0.003736138343811035
1623,143988225,0.0037360191345214852,1.0,0.0037360191345214852
2034,338100702,0.0037320852279663095,1.0,0.0037320852279663095
14,50824,0.00372922420501709,1.0,0.00372922420501709
1252,74438010,0.00370180606842041,1.0,0.00370180606842041
2030,338080304,0.0036978721618652335,1.0,0.0036978721618652335
3066,51079007020,0.0036878585815429688,1.0,0.0036878585815429688
2264,469305130,0.003684401512145996,1.0,0.003684401512145996
2823,17714001110,0.0036607980728149405,1.0,0.0036607980728149405
1137,71307513,0.0036548376083374015,1.0,0.0036548376083374015
892,49275041,0.0036541223526000977,1.0,0.0036541223526000977
173,51218,0.003628969192504883,1.0,0.003628969192504883
1621,143987310,0.0036243200302124015,1.0,0.0036243200302124015
593,7489020,0.0036221742630004883,1.0,0.0036221742630004883
1318,74779362,0.0036200284957885742,1.0,0.0036200284957885742
3035,50474000263,0.0035910606384277344,1.0,0.0035910606384277344
3148,51079048620,0.003583550453186035,1.0,0.003583550453186035
3519,55513054610,0.003583073616027832,1.0,0.003583073616027832
1757,173049400,0.0035701990127563477,1.0,0.0035701990127563477
2020,338055318,0.0035697221755981445,1.0,0.0035697221755981445
1599,126008802,0.0035588741302490234,1.0,0.0035588741302490234
275,51479,0.0035550594329833984,1.0,0.0035550594329833984
2873,37000002104,0.003543257713317871,1.0,0.003543257713317871
1829,182853489,0.003536224365234375,1.0,0.003536224365234375
3777,62584075001,0.0035343170166015625,1.0,0.0035343170166015625
749,24156210,0.00352323055267334,1.0,0.00352323055267334
2,50804,0.0034945011138916016,1.0,0.0034945011138916016
4060,74312001370,0.003488659858703613,1.0,0.003488659858703613
4043,68462014645,0.003458380699157715,1.0,0.003458380699157715
2610,904215461,0.003441095352172852,1.0,0.003441095352172852
2704,8290823000,0.003439664840698242,1.0,0.003439664840698242
426,2735501,0.003437042236328125,1.0,0.003437042236328125
3593,59075059215,0.003432035446166992,1.0,0.003432035446166992
1109,71015540,0.0034270286560058594,1.0,0.0034270286560058594
4025,68084030401,0.003422856330871582,1.0,0.003422856330871582
3431,54868277600,0.003421187400817871,1.0,0.003421187400817871
1464,85330601,0.003419160842895508,1.0,0.003419160842895508
1971,310075239,0.003416299819946289,1.0,0.003416299819946289
1452,85125902,0.0034160614013671875,1.0,0.0034160614013671875
1108,71015523,0.003402233123779297,1.0,0.003402233123779297
3486,55390016010,0.003399133682250977,1.0,0.003399133682250977
3121,51079033230,0.0033981800079345703,1.0,0.0033981800079345703
3585,59011010320,0.003396391868591309,1.0,0.003396391868591309
1328,74909431,0.003394365310668945,1.0,0.003394365310668945
2224,409909422,0.003379106521606445,1.0,0.003379106521606445
1801,182013801,0.003375649452209473,1.0,0.003375649452209473
2913,46287050030,0.003369331359863281,1.0,0.003369331359863281
3675,60505056701,0.003362894058227539,1.0,0.003362894058227539
2023,338068304,0.0033457279205322266,1.0,0.0033457279205322266
941,54023624,0.0033254623413085933,1.0,0.0033254623413085933
447,3080110,0.003319501876831055,1.0,0.003319501876831055
3683,60505258400,0.003314495086669922,1.0,0.003314495086669922
647,9005605,0.003309965133666992,1.0,0.003309965133666992
3014,50458030503,0.0033031702041625977,1.0,0.0033031702041625977
1320,74781124,0.003293871879577637,1.0,0.003293871879577637
2944,49502069703,0.0032886266708374023,1.0,0.0032886266708374023
1139,71400705,0.003285765647888184,1.0,0.003285765647888184
1148,74110202,0.003266811370849609,1.0,0.003266811370849609
2889,39822020501,0.0032634735107421875,1.0,0.0032634735107421875
1047,64100133,0.0032596588134765625,1.0,0.0032596588134765625
2650,904565661,0.003253459930419922,1.0,0.003253459930419922
362,225752,0.003252744674682617,1.0,0.003252744674682617
2227,409915701,0.003243207931518555,1.0,0.003243207931518555
1677,168020437,0.0032421350479125977,1.0,0.0032421350479125977
4022,68084027501,0.0032389163970947266,1.0,0.0032389163970947266
1500,88120329,0.0032379627227783203,1.0,0.0032379627227783203
1649,168001431,0.003232836723327637,1.0,0.003232836723327637
146,51128,0.0032311677932739253,1.0,0.0032311677932739253
2901,42998020301,0.003219008445739746,1.0,0.003219008445739746
637,8499020,0.003211855888366699,1.0,0.003211855888366699
1194,74212202,0.003208637237548828,1.0,0.003208637237548828
3086,51079012220,0.0031964778900146484,1.0,0.0031964778900146484
1876,186502031,0.0031909942626953125,1.0,0.0031909942626953125
297,224264,0.0031883716583251953,1.0,0.0031883716583251953
351,225466,0.003188014030456543,1.0,0.003188014030456543
284,51516,0.003173232078552246,1.0,0.003173232078552246
3640,59762024603,0.0031729936599731445,1.0,0.0031729936599731445
877,48107013,0.0031676292419433594,1.0,0.0031676292419433594
1845,186021503,0.003161907196044922,1.0,0.003161907196044922
1963,310032130,0.0031594038009643555,1.0,0.0031594038009643555
3308,52268080005,0.003150820732116699,1.0,0.003150820732116699
114,50997,0.003139495849609375,1.0,0.003139495849609375
2778,11980002205,0.003130435943603516,1.0,0.003130435943603516
2846,24208075006,0.003119826316833496,1.0,0.003119826316833496
3261,51079097120,0.003104686737060547,1.0,0.003104686737060547
1069,65066505,0.003104686737060547,1.0,0.003104686737060547
796,29607531,0.003100872039794922,1.0,0.003100872039794922
541,6074961,0.003099203109741211,1.0,0.003099203109741211
2350,536478701,0.003096938133239746,1.0,0.003096938133239746
1594,121174410,0.003090858459472656,1.0,0.003090858459472656
527,6011731,0.003090500831604004,1.0,0.003090500831604004
3304,52152001902,0.003086686134338379,1.0,0.003086686134338379
3399,54569391600,0.003080010414123535,1.0,0.003080010414123535
2474,641276543,0.003078937530517578,1.0,0.003078937530517578
364,225792,0.0030683279037475586,1.0,0.0030683279037475586
2244,456068801,0.0030655860900878906,1.0,0.0030655860900878906
1844,186021003,0.0030537843704223637,1.0,0.0030537843704223637
1333,75001600,0.0030527114868164067,1.0,0.0030527114868164067
2369,555077002,0.00305020809173584,1.0,0.00305020809173584
3191,51079068320,0.003043651580810547,1.0,0.003043651580810547
135,51116,0.0030285120010375977,1.0,0.0030285120010375977
2609,904213761,0.003021240234375,1.0,0.003021240234375
3186,51079066420,0.003015637397766113,1.0,0.003015637397766113
380,226475,0.00301361083984375,1.0,0.00301361083984375
2385,574703412,0.0030106306076049805,1.0,0.0030106306076049805
2192,409492834,0.003008961677551269,1.0,0.003008961677551269
1725,173010856,0.002999663352966309,1.0,0.002999663352966309
1300,74665106,0.0029882192611694336,1.0,0.0029882192611694336
726,23024001,0.002981901168823242,1.0,0.002981901168823242
1046,64100001,0.002976894378662109,1.0,0.002976894378662109
2717,10019002805,0.0029717683792114253,1.0,0.0029717683792114253
1001,54850016,0.002970457077026367,1.0,0.002970457077026367
2943,49502068524,0.002968907356262207,1.0,0.002968907356262207
2325,517570225,0.002965331077575684,1.0,0.002965331077575684
1787,173094556,0.002964138984680176,1.0,0.002964138984680176
1035,56017375,0.002963542938232422,1.0,0.002963542938232422
2874,37000002404,0.002954244613647461,1.0,0.002954244613647461
1125,71053040,0.002953529357910156,1.0,0.002953529357910156
818,34051625,0.002952098846435547,1.0,0.002952098846435547
3176,51079060420,0.002951979637145996,1.0,0.002951979637145996
2387,574704512,0.0029402971267700195,1.0,0.0029402971267700195
1499,88117547,0.002925634384155273,1.0,0.002925634384155273
6,50809,0.0029144287109375,1.0,0.0029144287109375
2665,904591361,0.002912759780883789,1.0,0.002912759780883789
2587,781893285,0.0029082298278808594,1.0,0.0029082298278808594
3678,60505082306,0.002897143363952637,1.0,0.002897143363952637
2094,378911916,0.002891659736633301,1.0,0.002891659736633301
3625,59676030401,0.002888083457946777,1.0,0.002888083457946777
2056,338917791,0.002881765365600586,1.0,0.002881765365600586
549,6336703,0.002881646156311035,1.0,0.002881646156311035
2122,409115170,0.0028766393661499023,1.0,0.0028766393661499023
82,50954,0.002871274948120117,1.0,0.002871274948120117
3360,54092024701,0.0028536319732666016,1.0,0.0028536319732666016
2515,713010113,0.002845883369445801,1.0,0.002845883369445801
1485,87606005,0.00283658504486084,1.0,0.00283658504486084
1900,228263111,0.002835869789123535,1.0,0.002835869789123535
334,225443,0.002831101417541504,1.0,0.002831101417541504
95,50971,0.0028209686279296875,1.0,0.0028209686279296875
1217,74317801,0.0028194189071655273,1.0,0.0028194189071655273
2817,17478028712,0.002819299697875977,1.0,0.002819299697875977
3764,62037087201,0.002819299697875977,1.0,0.002819299697875977
2820,17478071110,0.00280606746673584,1.0,0.00280606746673584
311,225199,0.002786040306091309,1.0,0.002786040306091309
2962,49884094174,0.0027823448181152344,1.0,0.0027823448181152344
2204,409662502,0.0027807950973510747,1.0,0.0027807950973510747
181,51232,0.0027618408203125,1.0,0.0027618408203125
2360,548604525,0.002760171890258789,1.0,0.002760171890258789
3587,59011010510,0.002760171890258789,1.0,0.002760171890258789
145,51127,0.00275266170501709,1.0,0.00275266170501709
1672,168014231,0.002747297286987305,1.0,0.002747297286987305
1794,173099501,0.002746105194091797,1.0,0.002746105194091797
2738,10019021302,0.002746105194091797,1.0,0.002746105194091797
3179,51079063020,0.002742528915405273,1.0,0.002742528915405273
1104,69581043,0.0027385950088500977,1.0,0.0027385950088500977
1186,74177825,0.002734184265136719,1.0,0.002734184265136719
2024,338068704,0.002724170684814453,1.0,0.002724170684814453
103,50983,0.002721548080444336,1.0,0.002721548080444336
